,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
0,3707563996,EPC5238,NY,PAS,10/01/2014,21,SUBN,CHEVR,T,20390,29890,31490,01/01/20150111 12:00:00 PM,0007,7.0,7.0,345454.0,T800,A2,0011A,,NY,F,133,Essex St,,01/05/0001 12:00:00 PM,408.0,d1,,Y Y Y,1200A,0300A,BL,,2005.0,,0.0,A 77,21-No Parking (street clean),,,
1,3720351144,5298MD,NY,COM,03/06/2015,14,VAN,FRUEH,T,27790,19550,19570,01/01/88888888 12:00:00 PM,0025,25.0,25.0,333386.0,T103,B,0942A,,NY,F,1916,Park Ave,,01/05/0001 12:00:00 PM,408.0,c,,YYYYY,0700A,1000A,BROWN,,0.0,,0.0,CC3,14-No Standing,,,
2,3316214685,FYW2775,NY,PAS,07/28/2014,46,SUBN,SUBAR,T,8130,5430,5580,01/01/20160524 12:00:00 PM,0072,72.0,72.0,331845.0,T302,L,1020A,,K,F,184,31st St,,01/05/0001 12:00:00 PM,408.0,f1,,,,,BLACK,,2010.0,,0.0,J 32,46A-Double Parking (Non-COM),,,
3,3150940771,GWE1987,NY,PAS,04/13/2015,19,4DSD,LEXUS,T,59990,16540,16790,01/01/20170111 12:00:00 PM,102,102.0,102.0,355669.0,T402,D,0318P,,Q,F,120-20,Queens Blvd,,01/05/0001 12:00:00 PM,408.0,c3,,YYYYY,0300P,1000P,GY,,2015.0,,0.0,01 4,19-No Stand (bus stop),,,
4,2742725568,T671196C,NY,PAS,05/19/2015,19,4DSD,CHRYS,T,36090,10410,24690,01/01/88888888 12:00:00 PM,0028,28.0,28.0,341248.0,T103,X,0410P,,NY,F,66,W 116th St,,01/05/0001 12:00:00 PM,408.0,c3,,YYYYYYY,,,BLACK,,0.0,,0.0,19 7,19-No Stand (bus stop),,,
5,3409824098,JJF6834,PA,PAS,11/20/2014,21,4DSD,NISSA,T,74230,37980,38030,01/01/20150688 12:00:00 PM,0067,67.0,67.0,357104.0,T302,A,0839A,,K,F,1013,Rutland Rd,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0830A,0900A,WHITE,,0.0,,0.0,C 32,21-No Parking (street clean),,,
6,3246631808,FYP8263,NY,PAS,08/01/2014,21,SUBN,HONDA,T,77530,63030,93230,01/01/20160605 12:00:00 PM,0079,79.0,79.0,355251.0,T301,O,0951A,,K,F,155,Skillman St,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,0830A,1000A,BK,,2012.0,,0.0,10 3,21-No Parking (street clean),,,
7,3148546655,FZL7450,NY,PAS,07/19/2014,71,4DSD,VOLVO,T,49210,0,0,01/01/20140927 12:00:00 PM,103,103.0,103.0,353083.0,T402,L,1043A,,Q,I,S,Henderson Ave,30ft W/of 189th St,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,GR,,2002.0,,0.0,A 42,71A-Insp Sticker Expired (NYS),,,
8,3131354127,86318MA,NY,COM,09/23/2014,69,VAN,CHEVR,T,21690,26990,26790,01/01/20150720 12:00:00 PM,0005,5.0,5.0,346381.0,T105,E,0144P,,NY,O,199,Grand St,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0900A,0700P,WH,,2007.0,,0.0,093,69-Failure to Disp Muni Recpt,,,
9,3722192264,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113.0,113.0,361082.0,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,GREEN,,1993.0,,0.0,N 42,71A-Insp Sticker Expired (NYS),,,
